escenario,algoritmo,fase,replica,semilla,pedidos,vehiculos,rutas,costoSoles,distanciaKm,pctSLA,noAtendidos,iteraciones,tiempoMs,semaforo,parametros
TIEMPO_REAL,ALNS,planificacion,1,20260920,41,24,19,400.57,65.699,1.0000,0,2000,1597,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,1,20260920,41,24,19,422.95,68.895,1.0000,0,2000,377,AMBAR,base
TIEMPO_REAL,ALNS,planificacion,2,20260921,42,24,21,385.31,60.891,1.0000,0,2000,1260,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,2,20260921,42,24,22,402.15,64.903,1.0000,0,2000,327,AMBAR,base
TIEMPO_REAL,ALNS,planificacion,3,20260922,41,24,19,336.95,54.541,1.0000,0,2000,1243,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,3,20260922,41,24,20,352.90,56.933,1.0000,0,2000,237,AMBAR,base
SIMULACION_5D,ALNS,planificacion,1,20260920,122,48,48,1297.45,201.134,0.9590,5,2255,10001,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,1,20260920,122,48,48,1307.10,202.743,0.9590,5,693,1000,ROJO,base
SIMULACION_5D,ALNS,planificacion,2,20260921,124,48,48,1268.39,205.112,0.8871,14,2341,10001,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,2,20260921,124,48,48,1157.57,189.054,0.8548,18,1284,1001,ROJO,base
SIMULACION_5D,ALNS,planificacion,3,20260922,122,48,48,1075.91,169.033,0.9836,2,1460,10003,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,3,20260922,122,48,48,1173.96,185.101,0.9672,4,701,1000,ROJO,base
COLAPSO,ALNS,planificacion,1,20260920,266,48,48,1386.05,221.103,0.4624,143,1709,10000,ROJO,base
COLAPSO,ALNS,reoptimizacion,1,20260920,266,48,48,1300.49,208.339,0.4624,143,5540,10001,ROJO,base
COLAPSO,ALNS,planificacion,2,20260921,266,48,48,1498.67,242.818,0.4812,138,1681,10006,ROJO,base
COLAPSO,ALNS,reoptimizacion,2,20260921,266,48,48,1478.79,237.209,0.4511,146,7234,10000,ROJO,base
COLAPSO,ALNS,planificacion,3,20260922,268,48,48,1678.72,257.214,0.4813,139,1476,10003,ROJO,base
COLAPSO,ALNS,reoptimizacion,3,20260922,268,48,48,1620.56,256.365,0.4776,140,4857,10000,ROJO,base
