escenario,algoritmo,fase,replica,semilla,pedidos,vehiculos,rutas,costoSoles,distanciaKm,pctSLA,noAtendidos,iteraciones,tiempoMs,semaforo,parametros
TIEMPO_REAL,ALNS,planificacion,1,20260920,41,24,19,400.57,65.699,1.0000,0,2000,1688,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,1,20260920,41,24,21,486.97,80.099,1.0000,0,2000,369,AMBAR,base
TIEMPO_REAL,HGS,planificacion,1,20260920,41,24,15,397.73,55.341,1.0000,0,1240,3003,VERDE,base
TIEMPO_REAL,HGS,reoptimizacion,1,20260920,41,24,20,442.43,67.323,1.0000,0,504,1075,VERDE,base
TIEMPO_REAL,ALNS,planificacion,2,20260921,42,24,21,385.31,60.891,1.0000,0,2000,2220,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,2,20260921,42,24,21,398.18,62.500,1.0000,0,2000,253,AMBAR,base
TIEMPO_REAL,HGS,planificacion,2,20260921,42,24,19,387.92,63.321,1.0000,0,864,1554,AMBAR,base
TIEMPO_REAL,HGS,reoptimizacion,2,20260921,42,24,19,373.50,59.315,1.0000,0,504,763,AMBAR,base
TIEMPO_REAL,ALNS,planificacion,3,20260922,41,24,19,336.95,54.541,1.0000,0,2000,1304,AMBAR,base
TIEMPO_REAL,ALNS,reoptimizacion,3,20260922,41,24,21,365.79,59.346,1.0000,0,2000,232,AMBAR,base
TIEMPO_REAL,HGS,planificacion,3,20260922,41,24,17,342.14,52.895,1.0000,0,736,1348,AMBAR,base
TIEMPO_REAL,HGS,reoptimizacion,3,20260922,41,24,18,345.42,53.705,1.0000,0,912,1092,AMBAR,base
SIMULACION_5D,ALNS,planificacion,1,20260920,122,48,48,1297.45,201.134,0.9590,5,2316,10002,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,1,20260920,122,48,48,1310.30,202.743,0.9590,5,744,1000,ROJO,base
SIMULACION_5D,HGS,planificacion,1,20260920,122,48,44,1526.04,228.505,0.9672,4,1000,3387,ROJO,base
SIMULACION_5D,HGS,reoptimizacion,1,20260920,122,48,47,1991.46,293.405,0.9754,3,440,1009,ROJO,base
SIMULACION_5D,ALNS,planificacion,2,20260921,124,48,48,1268.39,205.112,0.8871,14,2396,10006,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,2,20260921,124,48,48,1159.14,192.262,0.8629,17,1160,1000,ROJO,base
SIMULACION_5D,HGS,planificacion,2,20260921,124,48,43,1251.61,188.280,0.9194,10,1448,4337,ROJO,base
SIMULACION_5D,HGS,reoptimizacion,2,20260921,124,48,48,1580.52,248.410,0.8871,14,448,1026,ROJO,base
SIMULACION_5D,ALNS,planificacion,3,20260922,122,48,48,1075.91,169.033,0.9836,2,1483,10003,ROJO,base
SIMULACION_5D,ALNS,reoptimizacion,3,20260922,122,48,48,1160.32,180.301,0.9672,4,631,1002,ROJO,base
SIMULACION_5D,HGS,planificacion,3,20260922,122,48,46,1417.77,211.441,0.9836,2,696,2698,ROJO,base
SIMULACION_5D,HGS,reoptimizacion,3,20260922,122,48,48,1851.49,280.415,0.9754,3,408,1003,ROJO,base
COLAPSO,ALNS,planificacion,1,20260920,266,48,48,1386.05,221.103,0.4624,143,1717,10004,ROJO,base
COLAPSO,ALNS,reoptimizacion,1,20260920,266,48,48,1313.64,210.793,0.4398,149,7047,10001,ROJO,base
COLAPSO,HGS,planificacion,1,20260920,266,48,48,2337.51,353.620,0.6203,101,1160,5252,ROJO,base
COLAPSO,HGS,reoptimizacion,1,20260920,266,48,48,2886.92,437.058,0.6165,102,664,2630,ROJO,base
COLAPSO,ALNS,planificacion,2,20260921,266,48,48,1498.67,242.818,0.4812,138,1683,10000,ROJO,base
COLAPSO,ALNS,reoptimizacion,2,20260921,266,48,48,1449.96,233.207,0.4549,145,7340,10001,ROJO,base
COLAPSO,HGS,planificacion,2,20260921,266,48,48,2426.42,363.219,0.6128,103,728,3533,ROJO,base
COLAPSO,HGS,reoptimizacion,2,20260921,266,48,48,2896.08,432.936,0.5902,109,1032,3102,ROJO,base
COLAPSO,ALNS,planificacion,3,20260922,268,48,48,1678.72,257.214,0.4813,139,1478,10000,ROJO,base
COLAPSO,ALNS,reoptimizacion,3,20260922,268,48,48,1530.05,239.519,0.4739,141,5447,10004,ROJO,base
COLAPSO,HGS,planificacion,3,20260922,268,48,48,2155.18,328.720,0.6343,98,1456,6471,ROJO,base
COLAPSO,HGS,reoptimizacion,3,20260922,268,48,48,3082.97,475.470,0.6119,104,2000,5515,ROJO,base
